labels,sources,targets,values
Most-played 100,0,1,32
Instrumental,1,3,19
Vocal,3,7,13
Neo-classical,0,2,68
US-UK,2,4,46
V-pop,4,8,35
Classical,2,5,21
Ludovico Einaudi,5,9,8
Taylor Swift,3,10,1
Sơn Tùng M-TP,5,11,2
James Horner,3,12,2
Andiez,5,13,3
Rousseau,5,14,1
JustaTee,3,15,2
Phương Ly,1,6,12
Yiruma,6,16,2
Yann Tiersen,1,4,1
Christina Perri,4,7,1
Zac Efron,2,3,1
Ludwig van Beethoven,3,17,1
Justin Bieber,4,18,1
Charlie Puth,6,19,1
Rhymastic,4,20,1
Johann Pachelbel,4,21,1
Richard Clayderman,5,22,1
Charmy Pham,6,23,3
Fritz Kreisler,3,24,1
Da LAB,5,25,1
Alan Walker,6,26,1
BigDaddy,5,27,2
Đen,4,28,1
Claude Debussy,5,29,1
Pyotr Ilyich Tchaikovsky,5,30,1
Ed Sheeran,6,31,1
MIN,6,32,1
Ariana Grande,4,33,1
Rita Ora,5,34,1
Wolfgang Amadeus Mozart,4,35,1
ZAYN,4,36,1
benny blanco,6,37,1
Westlife,4,38,1
Wiz Khalifa,4,39,1
Johann Strauss II,4,40,1
Erik Satie,4,41,1
,6,42,1
,6,43,1
